x,Curve1
0.105723,3.83348e-07
0.186552,3.72642e-07
0.286057,7.56814e-07
0.354475,1.1451e-06
0.416651,1.13687e-06
0.478851,1.52598e-06
0.534834,1.91592e-06
0.590817,2.30585e-06
0.653017,2.69496e-06
0.70905,3.8796e-06
0.77125,4.26871e-06
0.83345,4.65782e-06
0.889482,5.84245e-06
0.94549,6.62974e-06
1.00774,7.81354e-06
1.06377,8.99818e-06
1.11983,1.05802e-05
1.18208,1.1764e-05
1.23194,1.37441e-05
1.28802,1.57234e-05
1.33789,1.77036e-05
1.38778,2.00811e-05
1.43767,2.24586e-05
1.48134,2.48369e-05
1.52503,2.76126e-05
1.56873,3.03882e-05
1.61242,3.31639e-05
1.64993,3.63378e-05
1.68743,3.95116e-05
1.71872,4.26863e-05
1.75622,4.58601e-05
1.79372,4.90339e-05
2.52361,0.00018801
2.54885,0.000193967
2.56782,0.00019913
2.5867,0.000202704
2.59938,0.000206676
2.61825,0.000210249
2.62464,0.00021303
2.63733,0.000217002
2.6562,0.000220575
2.66891,0.000224945
2.68783,0.000229313
2.71293,0.000232886
2.73829,0.000240829
2.75719,0.0002448
2.77602,0.000247579
2.80118,0.000252344
2.82011,0.000256713
2.84522,0.000260683
2.87029,0.000263858
2.89538,0.000267431
2.93289,0.000270605
2.97039,0.000273779
2.98292,0.000275367
3.03893,0.000276154
3.07004,0.000276547
3.11976,0.000276143
3.14451,0.000274153
3.18786,0.000271366
3.21877,0.00026858
3.24342,0.000265001
3.28045,0.000260625
3.31127,0.00025625
3.33594,0.000253068
3.36678,0.00024909
3.37895,0.000244718
3.40359,0.000241139
3.41588,0.000238753
3.43431,0.000235174
3.45277,0.000231993
3.47127,0.000229606
3.48965,0.000225233
3.50808,0.000221655
3.53271,0.000217678
3.54492,0.0002141
3.5818,0.00020734
3.60638,0.000202569
3.63714,0.000197399
3.66172,0.000192628
3.68629,0.000187856
3.71079,0.000181893
3.74156,0.000176723
3.76613,0.000171952
3.79063,0.000165988
3.81523,0.000161614
3.83364,0.000157638
3.85207,0.000154059
3.87671,0.00015048
3.90129,0.000145708
3.92581,0.000140142
3.95668,0.000136562
3.97506,0.000132189
3.98722,0.000127816
4.01804,0.000123441
4.03644,0.000119465
4.05485,0.000115489
4.08574,0.000112307
4.11024,0.000106343
4.13481,0.000101572
4.15944,9.75948e-05
4.18408,9.40154e-05
4.20249,9.00394e-05
4.22714,8.646e-05
4.25798,8.24824e-05
4.28253,7.73136e-05
4.31339,7.37333e-05
4.34416,6.85637e-05
4.36873,6.37922e-05
4.3996,6.0212e-05
4.4242,5.58379e-05
4.44882,5.18611e-05
4.47971,4.86782e-05
4.50433,4.47014e-05
4.54144,4.15177e-05
4.5537,3.87346e-05
4.58459,3.55517e-05
4.61546,3.19715e-05
4.64635,2.87886e-05
4.67722,2.52083e-05
4.71435,2.24219e-05
4.75146,1.92382e-05
4.78235,1.60553e-05
4.83191,1.32673e-05
4.86905,1.04809e-05
4.91864,8.09025e-06
4.96201,5.7004e-06
5.00546,4.50259e-06
5.06132,2.90579e-06
5.1172,1.70633e-06
5.13578,5.11817e-07
5.19796,5.03582e-07
5.25389,9.88222e-08
5.31604,-3.06761e-07
5.37822,-3.14996e-07
5.44039,-3.23231e-07
5.50257,-3.31466e-07
5.56475,-3.39701e-07
5.62692,-3.47937e-07
5.6891,-3.56172e-07
5.75127,-3.64407e-07
5.81345,-3.72642e-07
5.87562,-3.80877e-07
5.9378,-3.89113e-07
